case_id,event_date,primary_entity_name,location,scheme_tags,amount_text,source_titles,source_urls,downloaded_docs_count,i990_matched,i990_match_score,ein,i990_org_name,i990_state,i990_ntee_cd,i990_latest_tax_year,i990_latest_revenue,i990_latest_assets,risk_total_score,risk_tier,usaspending_matched,usaspending_recipient_name,usaspending_recipient_id,usaspending_uei,usaspending_duns,usaspending_agencies,sam_matched,sam_legal_business_name,sam_uei,sam_cage,sam_registration_status
splc-2026,2026-04-21,SOUTHERN POVERTY LAW CENTER,"Montgomery, AL",donor-fund-misuse|fictitious-entities|bank-false-statements|concealment-money-laundering|counterparty-risk,more than $3 million,"Federal Grand Jury Charges Southern Poverty Law Center for Wire Fraud, False Statements, and Conspiracy to Commit Money Laundering",https://www.justice.gov/opa/pr/federal-grand-jury-charges-southern-poverty-law-center-wire-fraud-false-statements-and,2,True,100,630598743,SOUTHERN POVERTY LAW CENTER INC,AL,I83Z,2023,129063290,822198315,0,0,True,SOUTHERN POVERTY LAW CENTER,d6b3baaa-a86d-29ea-d036-a72ccefbd3d4-C,H2GRQHMF6A63,078962198,Department of State:8500.0|Department of Homeland Security:480.0,True,SOUTHERN POVERTY LAW CENTER,H2GRQHMF6A63,3VAG6,Inactive
encouraging-leaders-2026,2026-01-09,ENCOURAGING LEADERS,"Minneapolis, MN",grant-fraud|false-progress-reports|fabricated-events|false-beneficiary-counts,,,https://www.justice.gov/usao-mn/pr/minneapolis-non-profit-director-charged-fraud,1,True,100,844229585,ENCOURAGING LEADERS,MN,O50,2023,728698,205986,6,3,True,ENCOURAGING LEADERS,7b944895-df7b-b43f-2498-bbc4b51c661c-R,UD37JS3HKKT5,117478648,Department of Justice:702864.0|Small Business Administration:7136.0|Department of Health and Human Services:0.0,True,ENCOURAGING LEADERS,UD37JS3HKKT5,8RN33,Inactive
community-academic-success-2026,2026-04-08,CENTER FOR COMMUNITY ACADEMIC SUCCESS PARTNERSHIPS,"Chicago area, IL",grant-fraud|americorps-fraud|sham-subcontractors|double-dipping|budget-inflation,$1.9 million,,https://www.justice.gov/usao-ndil/pr/former-executive-chicago-area-non-profit-sentenced-prison-19-million-fraud-schemes,1,True,100,384137760,SOUTH SUBURBAN COMMUNITY SERVICES,IL,B80,,,,,,True,CENTER FOR COMMUNITY ACADEMIC SUCCESS PARTNERSHIPS,8a40e61d-818d-3c58-8964-df6c224281cd-R,,,Small Business Administration:23882.18,True,SOUTH SUBURBAN COMMUNITY SERVICES,HUPRANJ1NSH7,8PJN7,Inactive
philadelphia-religious-nonprofit-2026,2026-03-03,PHILADELPHIA RELIGIOUS NONPROFIT FUND,"Philadelphia, PA",beneficiary-fund-theft|false-ledgers|luxury-spending|money-laundering,more than $1.6 million,|,https://www.justice.gov/usao-edpa/pr/former-executive-director-philadelphia-non-profit-fund-charged-stealing-over-16|https://www.justice.gov/usao-edpa/pr/former-philadelphia-nonprofit-executive-pleads-guilty-fraud-and-money-laundering,2,False,0,,,,,,,,,,False,,,,,,False,,,,
special-needs-trust-2025,2025-06-24,CENTER FOR SPECIAL NEEDS TRUST ADMINISTRATION,Florida,slush-fund|false-account-statements|trust-diversion|money-laundering-conspiracy,over $100 million,,https://www.justice.gov/usao-mdfl/pr/florida-non-profit-founder-and-accountant-charged-stealing-over-100-million-special,1,False,0,,,,,,,,,,True,"THE CENTER FOR SPECIAL NEEDS TRUST ADMINISTRATION, INC.",e194ed63-05cd-3076-cf39-c84f170beb80-R,,,Small Business Administration:301677.11,False,,,,
viet-america-society-2025,2025-06-06,VIET AMERICA SOCIETY,"Orange County, CA",grant-fraud|bribery|controlled-entities|concealment-laundering,,,https://www.justice.gov/usao-cdca/pr/founder-oc-based-non-profit-charged-15-count-indictment-alleging-he-bribed-county,1,False,0,,,,,,,,,,False,,,,,,True,VIET AMERICA SOCIETY,LNVBDCMZZGQ5,91YS6,Inactive
bay-city-theatre-2025,2025-09-23,BAY CITY STATE THEATRE,"Bay City, MI",mission-fund-diversion|fictitious-board-minutes|fake-invoices|fraudulent-grant-replenishment,,,https://www.justice.gov/usao-edmi/pr/former-non-profit-executive-director-and-city-development-official-pleads-guilty,1,False,0,,,,,,,,,,False,,,,,,False,,,,
washington-crime-victim-advocates-2024,2024-07-17,WASHINGTON COALITION OF CRIME VICTIM ADVOCATES,Washington,grant-fraud|false-invoices|no-show-executive|salary-extraction,,,https://www.justice.gov/usao-wdwa/pr/woman-who-fraudulently-used-state-grant-monies-sentenced-probation-and-home,1,False,0,,,,,,,,,,False,,,,,,False,,,,
blm-greater-atlanta-2024,2024-10-06,BLACK LIVES MATTER OF GREATER ATLANTA,Georgia,donation-diversion|personal-spending|real-estate-concealment|money-laundering,,,https://www.justice.gov/usao-ndoh/pr/blm-activist-sentenced-prison-wire-fraud-and-money-laundering,1,False,0,,,,,,,,,,False,,,,,,False,,,,
michele-fiore-charity-2024,2024-07-17,FIRENZA MEMORIAL CHARITY FUND,"Las Vegas, NV",charity-fraud|donor-use-misrepresentation|personal-spending,,,https://www.justice.gov/archives/opa/pr/former-las-vegas-city-councilwoman-charged-charity-fraud-scheme,1,False,0,,,,,,,,,,False,,,,,,False,,,,
